fuel_type,Tier,IMOSpeedCode,Load1,NO2_EF_ME,NO2_EF_AE,NO2_EF_AB
HFO,T1,M,0.58,13.0,13.0,2.1
HFO,T1,M,0.59,13.0,13.0,2.1
HFO,T1,M,0.6,13.0,13.0,2.1
HFO,T1,M,0.61,13.0,13.0,2.1
HFO,T1,M,0.62,13.0,13.0,2.1
HFO,T1,M,0.63,13.0,13.0,2.1
HFO,T1,M,0.64,13.0,13.0,2.1
HFO,T1,M,0.65,13.0,13.0,2.1
HFO,T1,M,0.66,13.0,13.0,2.1
HFO,T1,M,0.67,13.0,13.0,2.1
HFO,T1,M,0.68,13.0,13.0,2.1
HFO,T1,M,0.69,13.0,13.0,2.1
HFO,T1,M,0.7,13.0,13.0,2.1
HFO,T1,M,0.71,13.0,13.0,2.1
HFO,T1,M,0.72,13.0,13.0,2.1
HFO,T1,M,0.73,13.0,13.0,2.1
HFO,T1,M,0.74,13.0,13.0,2.1
HFO,T1,M,0.75,13.0,13.0,2.1
HFO,T1,M,0.76,13.0,13.0,2.1
HFO,T1,M,0.77,13.0,13.0,2.1
HFO,T1,M,0.78,13.0,13.0,2.1
HFO,T1,M,0.79,13.0,13.0,2.1
HFO,T1,M,0.8,13.0,13.0,2.1
HFO,T1,M,0.81,13.0,13.0,2.1
HFO,T1,M,0.82,13.0,13.0,2.1
HFO,T1,M,0.83,13.0,13.0,2.1
HFO,T1,M,0.84,13.0,13.0,2.1
HFO,T1,M,0.85,13.0,13.0,2.1
HFO,T1,M,0.86,13.0,13.0,2.1
HFO,T1,M,0.87,13.0,13.0,2.1
HFO,T1,M,0.88,13.0,13.0,2.1
HFO,T1,M,0.89,13.0,13.0,2.1
HFO,T1,M,0.9,13.0,13.0,2.1
HFO,T1,M,0.91,13.0,13.0,2.1
HFO,T1,M,0.92,13.0,13.0,2.1
HFO,T1,M,0.93,13.0,13.0,2.1
HFO,T1,M,0.94,13.0,13.0,2.1
HFO,T1,M,0.95,13.0,13.0,2.1
HFO,T1,M,0.96,13.0,13.0,2.1
HFO,T1,M,0.97,13.0,13.0,2.1
HFO,T1,M,0.98,13.0,13.0,2.1
HFO,T1,M,0.99,13.0,13.0,2.1
HFO,T1,M,1.0,13.0,13.0,2.1
HFO,T1,H,0.0,45.32637415255441,13.0,2.1
HFO,T1,H,0.01,45.32637415255441,13.0,2.1
HFO,T1,H,0.02,45.32637415255441,13.0,2.1
HFO,T1,H,0.03,28.609473882844892,13.0,2.1
HFO,T1,H,0.04,21.610508516186442,13.0,2.1
HFO,T1,H,0.05,17.920903675802112,13.0,2.1
HFO,T1,H,0.06,15.70019174562103,13.0,2.1
HFO,T1,H,0.07,14.242659714758561,13.0,2.1
HFO,T1,H,0.08,13.225683809594038,13.0,2.1
HFO,T1,H,0.09,12.483022788710057,13.0,2.1
HFO,T1,H,0.1,11.921211508326804,13.0,2.1
HFO,T1,H,0.11,11.484085002835037,13.0,2.1
HFO,T1,H,0.12,11.136071275880347,13.0,2.1
HFO,T1,H,0.13,10.85366020467144,13.0,2.1
HFO,T1,H,0.14,10.620755884470622,13.0,2.1
HFO,T1,H,0.15,10.426006493280603,13.0,2.1
HFO,T1,H,0.16,10.261200605048042,13.0,2.1
HFO,T1,H,0.17,10.120266997820675,13.0,2.1
HFO,T1,H,0.18,9.998630283053048,13.0,2.1
HFO,T1,H,0.19,9.892783891538304,13.0,2.1
HFO,T1,H,0.2,9.800000000000002,13.0,2.1
